Date,AAPL,MSFT
1996-04-17,BMO,nan
1996-07-17,BMO,nan
1996-10-16,BMO,nan
1997-01-15,BMO,nan
1997-04-16,BMO,nan
1997-07-16,BMO,nan
1997-10-20,nan,AMC
1998-01-14,BMO,nan
1998-01-21,nan,AMC
1998-04-15,BMO,nan
1998-04-22,nan,AMC
1998-07-15,BMO,nan
1998-07-16,nan,AMC
1998-10-14,BMO,nan
1998-10-20,nan,AMC
1999-01-13,BMO,nan
1999-01-19,nan,AMC
1999-04-14,BMO,nan
1999-04-20,nan,AMC
1999-07-14,BMO,nan
1999-07-19,nan,AMC
1999-10-13,BMO,nan
1999-10-19,nan,AMC
2000-01-18,nan,AMC
2000-01-19,BMO,nan
2000-04-19,BMO,nan
2000-04-20,nan,AMC
2000-07-18,BMO,AMC
2000-10-18,nan,AMC
2001-01-18,nan,AMC
2001-04-18,BMO,nan
2001-04-19,nan,AMC
2001-07-19,nan,AMC
2001-10-18,nan,AMC
2002-01-16,BMO,nan
2002-01-17,nan,AMC
2002-04-18,nan,AMC
2002-07-16,BMO,nan
2002-07-18,nan,AMC
2002-10-16,BMO,nan
2002-10-17,nan,AMC
2003-01-15,BMO,nan
2003-01-16,nan,AMC
2003-04-15,nan,AMC
2003-04-16,BMO,nan
2003-07-16,BMO,nan
2003-07-17,nan,AMC
2003-10-15,BMO,nan
2003-10-23,nan,AMC
2004-01-14,BMO,nan
2004-01-22,nan,AMC
2004-04-14,BMO,nan
2004-04-22,nan,AMC
2004-07-14,BMO,nan
2004-07-22,nan,AMC
2004-10-13,BMO,nan
2004-10-21,nan,AMC
2005-01-12,BMO,nan
2005-01-27,nan,AMC
2005-04-13,BMO,nan
2005-04-28,nan,AMC
2005-07-13,BMO,nan
2005-07-21,nan,AMC
2005-10-11,BMO,nan
2005-10-27,nan,AMC
2006-01-18,BMO,nan
2006-01-26,nan,AMC
2006-04-19,BMO,nan
2006-04-27,nan,AMC
2006-07-19,BMO,nan
2006-07-20,nan,AMC
2006-10-18,BMO,nan
2006-10-26,nan,AMC
2007-01-17,BMO,nan
2007-01-25,nan,AMC
2007-04-25,BMO,nan
2007-04-26,nan,AMC
2007-07-19,nan,AMC
2007-07-25,BMO,nan
2007-10-22,BMO,nan
2007-10-25,nan,AMC
2008-01-22,BMO,nan
2008-01-24,nan,AMC
2008-04-23,BMO,nan
2008-04-24,nan,AMC
2008-07-17,nan,AMC
2008-07-21,BMO,nan
2008-10-21,BMO,nan
2008-10-23,nan,AMC
2009-01-21,BMO,nan
2009-01-22,nan,AMC
2009-04-22,BMO,nan
2009-04-23,nan,AMC
2009-07-21,BMO,nan
2009-07-23,nan,AMC
2009-10-19,BMO,nan
2009-10-23,nan,AMC
2010-01-25,BMO,nan
2010-01-28,nan,AMC
2010-04-20,BMO,nan
2010-04-22,nan,AMC
2010-07-20,BMO,nan
2010-07-22,nan,AMC
2010-10-18,BMO,nan
2010-10-28,nan,AMC
2011-01-18,BMO,nan
2011-01-27,nan,AMC
2011-04-20,BMO,nan
2011-04-28,nan,AMC
2011-07-19,BMO,nan
2011-07-21,nan,AMC
2011-10-18,BMO,nan
2011-10-20,nan,AMC
2012-01-19,nan,AMC
2012-01-24,BMO,nan
2012-04-19,nan,AMC
2012-04-24,BMO,nan
2012-07-19,nan,AMC
2012-07-24,BMO,nan
2012-10-18,nan,AMC
2012-10-25,BMO,nan
2013-01-23,BMO,nan
2013-01-24,nan,AMC
2013-04-18,nan,AMC
2013-04-23,BMO,nan
2013-07-18,nan,AMC
2013-07-23,BMO,nan
2013-10-24,nan,AMC
2013-10-28,BMO,nan
2014-01-23,nan,AMC
2014-01-27,BMO,nan
2014-04-23,BMO,nan
2014-04-24,nan,AMC
2014-07-22,BMO,AMC
2014-10-20,BMO,nan
2014-10-23,nan,AMC
2015-01-26,nan,AMC
2015-01-27,BMO,nan
2015-04-23,nan,AMC
2015-04-27,BMO,nan
2015-07-21,BMO,AMC
2015-10-22,nan,AMC
2015-10-27,BMO,nan
2016-01-26,BMO,nan
2016-01-28,nan,AMC
2016-04-21,nan,AMC
2016-04-26,BMO,nan
2016-07-19,nan,AMC
2016-07-26,BMO,nan
2016-10-20,nan,AMC
2016-10-25,BMO,nan
2017-01-26,nan,AMC
2017-01-31,BMO,nan
2017-04-27,nan,AMC
2017-05-02,BMO,nan
2017-07-20,nan,AMC
2017-08-01,BMO,nan
2017-10-26,nan,AMC
2017-11-02,BMO,nan
2018-01-31,nan,AMC
2018-02-01,BMO,nan
2018-04-26,nan,AMC
2018-05-01,BMO,nan
2018-07-19,nan,AMC
2018-07-31,BMO,nan
2018-10-24,nan,AMC
2018-11-01,BMO,nan
2019-01-29,BMO,nan
2019-01-30,nan,AMC
2019-04-24,nan,AMC
2019-04-30,BMO,nan
2019-07-18,nan,AMC
2019-07-30,BMO,nan
2019-10-23,nan,AMC
2019-10-30,BMO,nan
2020-01-28,BMO,nan
2020-01-29,nan,AMC
2020-04-29,nan,AMC
2020-04-30,BMO,nan
2020-07-22,nan,AMC
2020-07-30,BMO,nan
2020-10-27,nan,AMC
2020-10-29,BMO,nan
2021-01-26,nan,AMC
2021-01-27,BMO,nan
2021-04-27,nan,AMC
2021-04-28,BMO,nan
2021-07-27,BMO,AMC
